date,price,open,high,low,volume,change_daily,id
2025-03-25,6106,6090,6109,6070,11800000,0.31,114
2025-03-26,6050,6090,6123,6041,16800000,-0.92,113
2025-03-27,6089,6016,6096,6014,10100000,0.64,112
2025-03-28,6092,6086,6099,6058,10200000,0.05,111
2025-03-29,6073,6091,6098,6021,15600000,-0.31,110
2025-03-30,6135,6080,6138,6054,15200000,1.02,109
2025-03-31,6132,6132,6147,6121,10200000,-0.05,108
2025-04-01,6147,6138,6158,6118,12000000,0.24,107
2025-04-02,6163,6144,6167,6129,10800000,0.26,106
2025-04-03,6137,6154,6160,6103,14100000,-0.42,105
2025-04-04,6029,6133,6143,6025,19400000,-1.76,104
2025-04-05,6001,6041,6068,5995,18000000,-0.46,103
2025-04-06,5970,6007,6016,5924,22200000,-0.52,102
2025-04-07,5971,5982,6024,5946,19000000,0.02,101
2025-04-08,5876,5980,6015,5873,25800000,-1.59,100
2025-04-09,5963,5883,5971,5848,27800000,1.48,99
2025-04-10,5861,5968,6001,5822,26100000,-1.71,98
2025-04-11,5790,5874,5884,5744,33500000,-1.21,97
2025-04-12,5851,5832,5870,5751,22800000,1.05,96
2025-04-13,5746,5845,5854,5720,25500000,-1.79,95
2025-04-14,5776,5766,5791,5673,23200000,0.52,94
2025-04-15,5621,5753,5758,5572,25900000,-2.68,93
2025-04-16,5628,5675,5704,5585,1420600,0.12,92
2025-04-17,5657,5631,5727,5602,1617400,0.52,91
2025-04-18,5578,5651,5675,5560,3541500,-1.40,90
2025-04-19,5692,5590,5701,5590,7961700,2.04,89
2025-04-20,5732,5679,5760,5652,21000000,0.70,88
2025-04-21,5669,5732,5738,5651,18700000,-1.10,87
2025-04-22,5730,5671,5771,5658,17500000,1.08,86
2025-04-23,5713,5732,5765,5683,17300000,-0.30,85
2025-04-24,5718,5715,5724,5651,16300000,0.09,84
2025-04-25,5816,5740,5826,5739,14000000,1.71,83
2025-04-26,5827,5813,5837,5802,10800000,0.19,82
2025-04-27,5760,5831,5837,5743,14800000,-1.15,81
2025-04-28,5739,5737,5780,5720,15800000,-0.36,80
2025-04-29,5623,5742,5748,5602,19100000,-2.02,79
2025-04-30,5653,5590,5673,5534,22300000,0.53,78
2025-05-01,5675,5644,5695,5600,18700000,0.39,77
2025-05-02,5712,5672,5773,5566,20600000,0.65,76
2025-05-03,5433,5551,5565,5415,24700000,-4.88,75
2025-05-04,5110,5423,5435,5074,36800000,-5.95,74
2025-05-05,5097,5007,5287,4832,36700000,-0.25,73
2025-05-06,5020,5127,5305,4941,24400000,-1.51,72
2025-05-07,5491,5006,5520,4872,31000000,9.38,71
2025-05-08,5302,5503,5529,5147,25200000,-3.44,70
2025-05-09,5391,5299,5418,5206,17600000,1.68,69
2025-05-10,5441,5453,5498,5391,13000000,0.93,68
2025-05-11,5428,5432,5485,5413,11600000,-0.24,67
2025-05-12,5306,5404,5425,5251,15600000,-2.25,66
2025-05-13,5313,5308,5371,5286,13800000,0.13,65
2025-05-14,5185,5284,5307,5127,11900000,-2.41,64
2025-05-15,5315,5183,5339,5172,15700000,2.51,63
2025-05-16,5402,5380,5500,5378,18500000,1.64,62
2025-05-17,5511,5409,5542,5355,14100000,2.02,61
2025-05-18,5550,5529,5562,5480,13400000,0.71,60
2025-05-19,5553,5544,5579,5492,12000000,0.05,59
2025-05-20,5584,5543,5597,5522,12300000,0.56,58
2025-05-21,5587,5580,5626,5456,18300000,0.05,57
2025-05-22,5623,5618,5683,5602,13900000,0.64,56
2025-05-23,5709,5609,5725,5601,13800000,1.53,55
2025-05-24,5672,5705,5706,5655,9893700,-0.65,54
2025-05-25,5626,5666,5673,5605,13000000,-0.81,53
2025-05-26,5652,5609,5690,5596,13900000,0.46,52
2025-05-27,5685,5643,5741,5637,14300000,0.58,51
2025-05-28,5678,5689,5715,5663,10300000,-0.12,50
2025-05-29,5865,5761,5876,5734,17700000,3.29,49
2025-05-30,5905,5868,5927,5836,13400000,0.68,48
2025-05-31,5909,5902,5925,5890,12100000,0.07,47
2025-06-01,5933,5904,5945,5867,12900000,0.41,46
2025-06-02,5976,5935,5978,5923,11800000,0.72,45
2025-06-03,5983,5930,5988,5893,12500000,0.12,44
2025-06-04,5960,5980,5994,5927,11100000,-0.38,43
2025-06-05,5861,5954,5958,5848,15500000,-1.66,42
2025-06-06,5857,5858,5895,5829,14200000,-0.07,41
2025-06-07,5817,5869,5872,5757,15400000,-0.68,40
2025-06-08,5879,5879,5895,5862,1500800,1.07,39
2025-06-09,5934,5820,5942,5813,12900000,0.94,38
2025-06-10,5903,5941,5953,5890,11800000,-0.52,37
2025-06-11,5923,5924,6008,5884,14100000,0.34,36
2025-06-12,5916,5912,5933,5853,16300000,-0.12,35
2025-06-13,5947,5899,5956,5868,11900000,0.52,34
2025-06-14,5982,5949,5991,5909,11500000,0.59,33
2025-06-15,5981,5980,5999,5974,11000000,-0.02,32
2025-06-16,5946,5974,6017,5929,15800000,-0.59,31
2025-06-17,6007,5932,6025,5930,12800000,1.03,30
2025-06-18,6064,6068,6082,6047,473100,0.95,29
2025-06-19,6099,6066,6103,6045,699800,0.58,28
2025-06-20,6082,6095,6129,6060,1021300,-0.28,27
2025-06-21,6103,6077,6105,6041,2114400,0.35,26
2025-06-22,6032,6098,6098,5979,9191900,-1.16,25
2025-06-23,6090,6001,6109,6000,19200000,0.96,24
2025-06-24,6039,6093,6094,6030,17300000,-0.84,23
2025-06-25,6034,6031,6074,6018,13600000,-0.08,22
2025-06-26,6017,6017,6035,5971,2696900,-0.28,21
2025-06-27,6018,6038,6071,5970,16900000,0.02,20
2025-06-28,6077,5964,6082,5959,13600000,0.98,19
2025-06-29,6146,6078,6155,6075,10800000,1.14,18
2025-06-30,6147,6145,6160,6131,9025000,0.02,17
2025-07-01,6195,6145,6200,6141,10400000,0.78,16
2025-07-02,6224,6198,6239,6183,13500000,0.47,15
2025-07-03,6254,6223,6266,6223,13600000,0.48,14
2025-07-04,6249,6246,6262,6227,13200000,-0.08,13
2025-07-05,6275,6248,6280,6236,10400000,0.42,12
2025-07-06,6324,6277,6333,6271,7510000,0.78,11
2025-07-07,6284,6315,6318,6277,1219800,-0.63,10
2025-07-08,6276,6308,6315,6246,13800000,-0.13,9
2025-07-09,6272,6263,6289,6255,10700000,-0.06,8
2025-07-10,6307,6272,6315,6260,11400000,0.56,7
2025-07-11,6324,6306,6336,6288,9483900,0.27,6
2025-07-12,6300,6323,6330,6277,11000000,-0.38,5
2025-07-13,6276,6276,6280,6265,273700,-0.38,4
2025-07-14,6311,6274,6315,6260,9092200,0.56,3
2025-07-15,6284,6310,6343,6273,12800000,-0.43,2
2025-07-16,6293,6293,6309,6241,97800,0.14,1
